src;trg;all;retained;patternMatching;prepareIneq;solving;remove
16705;11279;29977;3791;23025;17185;1228;7332
16705;11279;29977;3791;21101;17080;1301;9098
16705;11279;29977;3791;22143;16948;1193;6783
16705;11279;29977;3791;22637;7770;1214;6790
16705;11279;29977;3791;24639;328;1407;169
16705;11279;29977;3791;23142;328;1454;183
16705;11279;29977;3791;24604;328;1390;174
16705;11279;29977;3791;15319;164;4241;127
16705;11279;29977;3791;16045;161;938;124
16705;11279;29977;3791;14255;185;1084;125
16705;11279;29977;3791;14336;170;942;127
16705;11279;29977;3791;14148;187;949;127
16705;11279;29977;3791;17112;172;917;120
16705;11279;29977;3791;14772;195;993;120
16705;11279;29977;3791;13961;161;919;121
16705;11279;29977;3791;15481;183;911;119
16705;11279;29977;3791;15535;186;952;120
16705;11279;29977;3791;15419;189;921;130
